ID_Demanda,Origen,Destino,Cantidad de Enlaces,Velocidad [Gbps],Ruta
D28,Mendoza,Villa Tulumaya,4,100,Mendoza - Villa Tulumaya
D29,Villa Tulumaya,Media Agua,4,100,Villa Tulumaya - Media Agua
D30,Media Agua,San Juan,4,100,Media Agua - San Juan
D31,San Juan,Serrezuela,4,100,San Juan - Serrezuela
D32,Serrezuela,La Falda,4,100,Serrezuela - La Falda
D33,La Falda,Cordoba,4,100,La Falda - Cordoba
D34,Tucuman,Concepcion,1,200,Tucuman - Concepcion
D35,Tucuman,Catamarca,1,200,Tucuman - Concepcion - Catamarca
D36,Tucuman,La Rioja,1,200,Tucuman - Concepcion - Catamarca - La Rioja
D37,Tucuman,Patquia,1,200,Tucuman - Concepcion - Catamarca - La Rioja - Patquia
D38,Concepcion,Cordoba,1,200,Concepcion - Catamarca - La Rioja - Cordoba
D39,Catamarca,Cordoba,1,200,Catamarca - La Rioja - Cordoba
D40,La Rioja,Cordoba,1,200,La Rioja - Cordoba
D41,Patquia,Cordoba,1,200,Patquia - Cordoba
D42,Serrezuela,Cordoba,1,200,Serrezuela - Cordoba
D43,Tucuman,Concepcion,4,100,Tucuman - Concepcion
D44,Concepcion,Catamarca,4,100,Concepcion - Catamarca
D45,Catamarca,La Rioja,4,100,Catamarca - La Rioja
D46,La Rioja,Patquia,4,100,La Rioja - Patquia
D47,Patquia,Serrezuela,4,100,Patquia - Serrezuela
D48,Serrezuela,Cordoba,4,100,Serrezuela - Cordoba
D49,Tucuman,Santiago del Estero,1,200,Tucuman - Santiago del Estero
D50,Tucuman,Frias,1,200,Tucuman - Santiago del Estero - Frias
D51,Tucuman,Dean Funes,1,200,Tucuman - Santiago del Estero - Frias - Dean Funes
D52,Tucuman,Jesus Maria,1,200,Tucuman - Santiago del Estero - Frias - Dean Funes - Jesus Maria
D53,Tucuman,Cordoba,1,200,Tucuman - Santiago del Estero - Frias - Dean Funes - Jesus Maria - Cordoba
D54,Santiago del Estero,Cordoba,1,200,Santiago del Estero - Frias - Dean Funes - Jesus Maria - Cordoba
D55,Frias,Cordoba,1,200,Frias - Dean Funes - Jesus Maria - Cordoba
D56,Dean Funes,Cordoba,1,200,Dean Funes - Jesus Maria - Cordoba
D57,Jesus Maria,Cordoba,1,200,Jesus Maria - Cordoba
D58,Tucuman,Santiago del Estero,4,100,Tucuman - Santiago del Estero
D59,Santiago del Estero,Frias,4,100,Santiago del Estero - Frias
D60,Frias,Dean Funes,4,100,Frias - Dean Funes
D61,Dean Funes,Jesus Maria,4,100,Dean Funes - Jesus Maria
D62,Jesus Maria,Cordoba,4,100,Jesus Maria - Cordoba
D63,San Miguel de Tucuman,Santa Maria,1,200,San Miguel de Tucuman - Santa Maria
D64,San Miguel de Tucuman,San Antonio de los Cobres,1,200,San Miguel de Tucuman - Santa Maria - San Antonio de los Cobres
D65,San Miguel de Tucuman,La Quiaca,1,200,San Miguel de Tucuman - Santa Maria - San Antonio de los Cobres - La Quiaca
D66,San Miguel de Tucuman,Humahuaca,1,200,San Miguel de Tucuman - Santa Maria - San Antonio de los Cobres - La Quiaca - Humahuaca
D67,San Antonio de los Cobres,San Salvador de Jujuy,1,200,San Antonio de los Cobres - La Quiaca - Humahuaca - San Salvador de Jujuy
D68,La Quiaca,San Salvador de Jujuy,1,200,La Quiaca - Humahuaca - San Salvador de Jujuy
D69,Humahuaca,San Salvador de Jujuy,1,200,Humahuaca - San Salvador de Jujuy
D70,Santa Maria,San Antonio de los Cobres,4,100,Santa Maria - San Antonio de los Cobres
D71,San Antonio de los Cobres,La Quiaca,4,100,San Antonio de los Cobres - La Quiaca
D72,La Quiaca,Humahuaca,4,100,La Quiaca - Humahuaca
D73,Humahuaca,San Salvador de Jujuy,4,100,Humahuaca - San Salvador de Jujuy
D74,Tucuman,San Jose de Metan,1,200,Tucuman - San Jose de Metan
D75,Tucuman,Salta,1,200,Tucuman - San Jose de Metan - Salta
D76,San Jose de Metan,Jujuy,1,200,San Jose de Metan - Salta - Jujuy
D77,Salta,Jujuy,1,200,Salta - Jujuy
D78,Tucuman,San Jose de Metan,4,100,Tucuman - San Jose de Metan
D79,San Jose de Metan,Salta,4,100,San Jose de Metan - Salta
D80,Salta,Jujuy,1,100,Salta - Jujuy
D81,San Salvador de Jujuy,San Jose de Metan,1,200,San Salvador de Jujuy - San Jose de Metan
D82,San Salvador de Jujuy,Saenz Peña,1,200,San Salvador de Jujuy - San Jose de Metan - Saenz Peña
D83,Saenz Peña,Resistencia,1,200,Saenz Peña - Resistencia
D84,San Jose de Metan,Saenz Peña,4,100,San Jose de Metan - Saenz Peña
D85,Saenz Peña,Resistencia,4,100,Saenz Peña - Resistencia
D86,San Salvador de Jujuy,San Pedro,1,200,San Salvador de Jujuy - San Pedro
D87,San Salvador de Jujuy,San Martin,1,200,San Salvador de Jujuy - San Pedro - San Martin
D88,San Salvador de Jujuy,Embarcacion,1,200,San Salvador de Jujuy - San Pedro - San Martin - Embarcacion
D89,San Salvador de Jujuy,Juan Page,1,200,San Salvador de Jujuy - San Pedro - San Martin - Embarcacion - Juan Page
D90,San Salvador de Jujuy,Las Lomitas,1,200,San Salvador de Jujuy - San Pedro - San Martin - Embarcacion - Juan Page - Las Lomitas
D91,San Salvador de Jujuy,Formosa,1,200,San Salvador de Jujuy - San Pedro - San Martin - Embarcacion - Juan Page - Las Lomitas - Formosa
D92,San Pedro,Resistencia,1,200,San Pedro - San Martin - Embarcacion - Juan Page - Las Lomitas - Formosa - Resistencia
D93,San Martin,Resistencia,1,200,San Martin - Embarcacion - Juan Page - Las Lomitas - Formosa - Resistencia
D94,Embarcacion,Resistencia,1,200,Embarcacion - Juan Page - Las Lomitas - Formosa - Resistencia
D95,Juan Page,Resistencia,1,200,Juan Page - Las Lomitas - Formosa - Resistencia
D96,Las Lomitas,Resistencia,1,200,Las Lomitas - Formosa - Resistencia
D97,Formosa,Resistencia,1,200,Formosa - Resistencia
D98,San Salvador de Jujuy,San Pedro,4,100,San Salvador de Jujuy - San Pedro
D99,San Pedro,San Martin,4,100,San Pedro - San Martin
D100,San Martin,Embarcacion,4,100,San Martin - Embarcacion
D101,Embarcacion,Juan Page,4,100,Embarcacion - Juan Page
D102,Juan Page,Las Lomitas,4,100,Juan Page - Las Lomitas
D103,Las Lomitas,Formosa,4,100,Las Lomitas - Formosa
D104,Formosa,Resistencia,4,100,Formosa - Resistencia
D105,Tucuman,Añatuya,1,200,Tucuman - Santiago del Estero - Añatuya
D106,Añatuya,Santa Fe,1,200,Añatuya - Tostado - Rafaela - Santa Fe
D107,Tostado,Santa Fe,1,200,Tostado - Rafaela - Santa Fe
D108,Santiago del Estero,Añatuya,4,100,Santiago del Estero - Añatuya
D109,Añatuya,Tostado,4,100,Añatuya - Tostado
D110,Cordoba,Arroyito,4,100,Cordoba - Arroyito
D111,Arroyito,San Francisco,4,100,Arroyito - San Francisco
D112,San Francisco,Rafaela,4,100,San Francisco - Rafaela
D113,Rafaela,Santa Fe,4,100,Rafaela - Santa Fe
D114,Cordoba,Arroyito,1,200,Cordoba - Arroyito
D115,Arroyito,Santa Fe,1,200,Arroyito - San Francisco - Rafaela - Santa Fe
D116,Cordoba,San Francisco,1,200,Cordoba - Arroyito - San Francisco
D117,San Francisco,Santa Fe,1,200,San Francisco - Rafaela - Santa Fe
D118,Cordoba,Rafaela,1,200,Cordoba - Arroyito - San Francisco - Rafaela
D119,Rafaela,Santa Fe,1,200,Rafaela - Santa Fe
D120,Rafaela,Sunchales,4,100,Rafaela - Sunchales
D121,Sunchales,Ceres,4,100,Sunchales - Ceres
D122,Ceres,Tostado,4,100,Ceres - Tostado
D123,Tostado,Vera,4,100,Tostado - Vera
D124,Vera,Resistencia,4,100,Vera - Resistencia
D125,Santa Fe,Rafaela,1,200,Santa Fe - Rafaela
D126,Santa Fe,Sunchales,1,200,Santa Fe - Rafaela - Sunchales
D127,Sunchales,Resistencia,1,200,Sunchales - Ceres - Tostado - Vera - Resistencia
D128,Santa Fe,Ceres,1,200,Santa Fe - Rafaela - Sunchales - Ceres
D129,Ceres,Resistencia,1,200,Ceres - Tostado - Vera - Resistencia
D130,Santa Fe,Tostado,1,200,Santa Fe - Rafaela - Sunchales - Ceres - Tostado
D131,Tostado,Resistencia,1,200,Tostado - Vera - Resistencia
D132,Santa Fe,Vera,1,200,Santa Fe - Rafaela - Sunchales - Ceres - Tostado - Vera
D133,Vera,Resistencia,1,200,Vera - Resistencia
D134,Resistencia,Corrientes,4,100,Resistencia - Corrientes
D135,Corrientes,Ituzaingo,4,100,Corrientes - Ituzaingo
D136,Ituzaingo,Posadas,4,100,Ituzaingo - Posadas
D137,Resistencia,Ituzaingo,1,200,Resistencia - Corrientes - Ituzaingo
D138,Ituzaingo,Posadas,1,200,Ituzaingo - Posadas
D139,Posadas,San Jose,1,200,Posadas - San Jose
D140,Posadas,Paso de los Libres,1,200,Posadas - San Jose - Paso de los Libres
D141,San Jose,Santa Fe,1,200,San Jose - Paso de los Libres - Concordia - Parana - Santa Fe
D142,Paso de los Libres,Santa Fe,1,200,Paso de los Libres - Concordia - Parana - Santa Fe
D143,Concordia,Santa Fe,1,200,Concordia - Parana - Santa Fe
D144,Posadas,San Jose,4,100,Posadas - San Jose
D145,San Jose,Paso de los Libres,4,100,San Jose - Paso de los Libres
D146,Paso de los Libres,Concordia,4,100,Paso de los Libres - Concordia
D147,Benavidez,Concepcion del Uruguay,1,200,Benavidez - Campana - Concepcion del Uruguay
D148,Benavidez,Concordia,1,200,Benavidez - Campana - Concepcion del Uruguay - Concordia
D149,Concepcion del Uruguay,Santa Fe,1,200,Concepcion del Uruguay - Concordia - Parana - Santa Fe
D150,Campana,Concepcion del Uruguay,4,100,Campana - Concepcion del Uruguay
D151,Concepcion del Uruguay,Concordia,4,100,Concepcion del Uruguay - Concordia
D152,Benavidez,Campana,1,200,Benavidez - Campana
D153,Benavidez,Baradero,1,200,Benavidez - Campana - Baradero
D154,Benavidez,San Nicolas,1,200,Benavidez - Campana - Baradero - San Nicolas
D155,Campana,Rosario,1,200,Campana - Baradero - San Nicolas - Rosario
D156,Baradero,Rosario,1,200,Baradero - San Nicolas - Rosario
D157,San Nicolas,Rosario,1,200,San Nicolas - Rosario
D158,Benavidez,Campana,4,100,Benavidez - Campana
D159,Campana,Baradero,4,100,Campana - Baradero
D160,Baradero,San Nicolas,4,100,Baradero - San Nicolas
D161,San Nicolas,Rosario,4,100,San Nicolas - Rosario
D162,Rosario,San Fabian,1,200,Rosario - San Fabian
D163,San Fabian,Santa Fe,1,200,San Fabian - Santa Fe
D164,Rosario,San Fabian,4,100,Rosario - San Fabian
D165,San Fabian,Santa Fe,4,100,San Fabian - Santa Fe
D166,Santa Fe,Parana,1,200,Santa Fe - Parana
D167,Santa Fe,La Paz,1,200,Santa Fe - Parana - La Paz
D168,Santa Fe,Goya,1,200,Santa Fe - Parana - La Paz - Goya
D169,Santa Fe,Bellavista,1,200,Santa Fe - Parana - La Paz - Goya - Bellavista
D170,Santa Fe,Corrientes,1,200,Santa Fe - Parana - La Paz - Goya - Bellavista - Corrientes
D171,Parana,Resistencia,1,200,Parana - La Paz - Goya - Bellavista - Corrientes - Resistencia
D172,La Paz,Resistencia,1,200,La Paz - Goya - Bellavista - Corrientes - Resistencia
D173,Goya,Resistencia,1,200,Goya - Bellavista - Corrientes - Resistencia
D174,Bellavista,Resistencia,1,200,Bellavista - Corrientes - Resistencia
D175,Corrientes,Resistencia,1,200,Corrientes - Resistencia
D176,Santa Fe,Parana,4,100,Santa Fe - Parana
D177,Parana,La Paz,4,100,Parana - La Paz
D178,La Paz,Goya,4,100,La Paz - Goya
D179,Goya,Bellavista,4,100,Goya - Bellavista
D180,Bellavista,Corrientes,4,100,Bellavista - Corrientes
D181,Posadas,Jardin America,1,200,Posadas - Jardin America
D182,Posadas,Puerto Iguazu,1,200,Posadas - Jardin America - Puerto Iguazu
D183,Jardin America,Puerto Iguazu,1,200,Jardin America - Puerto Iguazu
D184,Posadas,Jardin America,4,100,Posadas - Jardin America
D185,Jardin America,Puerto Iguazu,4,100,Jardin America - Puerto Iguazu
D186,Posadas,Puerto Iguazu,1,200,Posadas - San Jose - Aristobulo del valle - Puerto Iguazu
D187,San Jose,Aristobulo del Valle,1,200,San Jose - Aristobulo del valle
D188,Aristobulo del Valle,Puerto Iguazu,1,200,Aristobulo del valle - Puerto Iguazu
D189,San Jose,Aristobulo del Valle,4,100,San Jose - Aristobulo del Valle
D190,Aristobulo del Valle,Puerto Iguazu,4,100,Aristobulo del Valle - Puerto Iguazu
D191,Clorinda,Formosa,1,200,Clorinda - Formosa - Resistencia
D192,Clorinda,Resistencia,4,100,Clorinda - Formosa
D193,San Salvador de Jujuy,Salvador Mazza,1,200,San Salvador de Jujuy - Embarcacion - Salvador Mazza
D194,San Salvador de Jujuy,Embarcacion,1,200,San Salvador de Jujuy - Embarcacion
D195,Embarcacion,Salvador Mazza,4,100,Embarcacion - Salvador Mazza
D196,Benavidez,Rosario,1,400,Benavidez - Zarate - San Pedro - San Nicolas de los Arroyos - Rosario
D197,Rosario,Resistencia,1,400,Rosario - San Fabian - Santa Fe - Parana - La Paz - Goya - Bellavista - Corrientes - Resistencia
D198,Benavidez,Zarate,2,300,Benavidez - Zarate
D199,Benavidez,San Nicolas de los Arroyos,1,300,Benavidez - Zarate - San Pedro - San Nicolas de los Arroyos
D200,Zarate,San Pedro,1,300,Zarate - San Pedro
D201,Zarate,Rosario,1,300,Zarate - San Pedro - San Nicolas de los Arroyos - Rosario
D202,San Pedro,Rosario,1,300,San Pedro - San Nicolas de los Arroyos - Rosario
D203,San Nicolas,Rosario,1,300,San Nicolas de los Arroyos - Rosario
D204,Rosario,San Fabian,1,300,Rosario - San Fabian
D205,Rosario,Santa Fe,1,300,Rosario - San Fabian - Santa Fe
D206,San Fabian,Santa Fe,1,300,San Fabian - Santa Fe
D207,Santa Fe,La Paz,1,300,Santa Fe - Parana - La Paz
D208,Santa Fe,Parana,1,300,Santa Fe - Parana
D209,Parana,Goya,1,300,Parana - La Paz - Goya
D210,Goya,Resistencia,1,300,Goya - Bellavista - Corrientes - Resistencia
D211,La Paz,Bellavista,1,300,La Paz - Goya - Bellavista
D212,Bellavista,Corrientes,1,300,Bellavista - Corrientes
D213,Corrientes,Resistencia,1,300,Corrientes - Resistencia
D214,Benavidez,Santa Fe,2,300,Benavidez - Zarate - San Pedro - San Nicolas de los Arroyos - Rosario - San Fabian - Santa Fe
D215,Cordoba,V. Mercedes,1,200,Cordoba - V. Mercedes
D216,Rufino,Lujan,1,200,Rufino - Lujan
D217,Lujan,Chacabuco,1,200,Lujan - Chacabuco
D218,Lujan,Junin,1,200,Lujan - Chacabuco - Junin
D219,Lujan,Vedia,1,200,Lujan - Chacabuco - Junin - Vedia
D220,Lujan,Rufino,1,200,Lujan - Chacabuco - Junin - Vedia - Rufino
D221,Lujan,Pehuajo,1,200,Lujan - Chacabuco - Junin - Vedia - Rufino - Pehuajo
D222,Lujan,Bolivar,1,200,Lujan - Chacabuco - Junin - Vedia - Rufino - Pehuajo - Bolivar
D223,Lujan,Olavarria,1,200,Lujan - Chacabuco - Junin - Vedia - Rufino - Pehuajo - Bolivar - Olavarria
D224,Lujan,Azul,1,200,Lujan - Chacabuco - Junin - Vedia - Rufino - Pehuajo - Bolivar - Olavarria - Azul
D225,Lujan,Tandil,1,200,Lujan - Chacabuco - Junin - Vedia - Rufino - Pehuajo - Bolivar - Olavarria - Azul - Tandil
D226,Chacabuco,Abasto,1,200,Chacabuco - Junin - Vedia - Rufino - Pehuajo - Bolivar - Olavarria - Azul - Tandil
D227,Junin,Abasto,1,200,Junin - Vedia - Rufino - Pehuajo - Bolivar - Olavarria - Azul - Tandil
D228,Vedia,Abasto,1,200,Vedia - Rufino - Pehuajo - Bolivar - Olavarria - Azul - Tandil
D229,Rufino,Abasto,1,200,Rufino - Pehuajo - Bolivar - Olavarria - Azul - Tandil - Mar del Plata - Las Armas - Dolores - Chascomus - Abasto
D230,Pehuajo,Abasto,1,200,Pehuajo - Bolivar - Olavarria - Azul - Tandil - Mar del Plata - Las Armas - Dolores - Chascomus - Abasto
D231,Bolivar,Abasto,1,200,Bolivar - Olavarria - Azul - Tandil - Mar del Plata - Las Armas - Dolores - Chascomus - Abasto
D232,Olavarria,Abasto,1,200,Olavarria - Azul - Tandil - Mar del Plata - Las Armas - Dolores - Chascomus - Abasto
D233,Azul,Abasto,1,200,Azul - Tandil - Mar del Plata - Las Armas - Dolores - Chascomus - Abasto
D234,Tandil,Abasto,1,200,Tandil - Mar del Plata - Las Armas - Dolores - Chascomus - Abasto
D235,Lujan,Chacabuco,4,100,Lujan - Chacabuco
D236,Chacabuco,Junin,4,100,Chacabuco - Junin
D237,Junin,Vedia,4,100,Junin - Vedia
D238,Vedia,Rufino,4,100,Vedia - Rufino
D239,Rufino,Pehuajo,4,100,Rufino - Pehuajo
D240,Pehuajo,Bolivar,4,100,Pehuajo - Bolivar
D241,Bolivar,Olavarria,4,100,Bolivar - Olavarria
D242,Olavarria,Azul,4,100,Olavarria - Azul
D243,Azul,Tandil,4,100,Azul - Tandil
D244,Tandil,Mar del Plata,4,100,Tandil - Mar del Plata
D245,Lujan,Mercedes,1,200,Lujan - Mercedes
D246,Lujan,Chivilcoy,1,200,Lujan - Mercedes - Chivilcoy
D247,Lujan,Bragado,1,200,Lujan - Mercedes - Chivilcoy - Bragado
D248,Lujan,9 De Julio,1,200,Lujan - Mercedes - Chivilcoy - Bragado - 9 De Julio
D249,Mercedes,Abasto,1,200,Mercedes - Chivilcoy - Bragado - 9 De Julio - Pehuajo - Bolivar - Olavarria - Azul - Tandil - Mar del Plata - Pinamar - Las Toninas - Abasto
D250,Chivilcoy,Abasto,1,200,Chivilcoy - Bragado - 9 De Julio - Pehuajo - Bolivar - Olavarria - Azul - Tandil - Mar del Plata - Pinamar - Las Toninas - Abasto
D251,Bragado,Abasto,1,200,Bragado - 9 De Julio - Pehuajo - Bolivar - Olavarria - Azul - Tandil - Mar del Plata - Pinamar - Las Toninas - Abasto
D252,9 De Julio,Abasto,1,200,9 De Julio - Pehuajo - Bolivar - Olavarria - Azul - Tandil - Mar del Plata - Pinamar - Las Toninas - Abasto
D253,Lujan,Mercedes,4,100,Lujan - Mercedes
D254,Mercedes,Chivilcoy,4,100,Mercedes - Chivilcoy
D255,Chivilcoy,Bragado,4,100,Chivilcoy - Bragado
D256,Bragado,9 De Julio,4,100,Bragado - 9 De Julio
D257,9 De Julio,Pehuajo,4,100,9 De Julio - Pehuajo
D258,Benavidez,Azopardo,1,200,Benavidez - Azopardo
D259,Benavidez,La Plata,1,200,Benavidez - Azopardo - La Plata
D260,Azopardo,Abasto,1,200,Azopardo - La Plata - Abasto
D261,La Plata,Abasto,1,200,La Plata - Abasto
D262,Benavidez,Azopardo,4,100,Benavidez - Azopardo
D263,Azopardo,La Plata,4,100,Azopardo - La Plata
D264,La Plata,Abasto,4,100,La Plata - Abasto
D265,Abasto,Las Toninas,1,200,Abasto - Las Toninas
D266,Abasto,Pinamar,1,200,Abasto - Las Toninas - Pinamar
D267,Abasto,Mar Del Plata,1,200,Abasto - Las Toninas - Pinamar - Mar Del Plata
D268,Abasto,Tres Arroyos,1,200,Abasto - Las Toninas - Pinamar - Mar Del Plata - Tres Arroyos
D269,Las Toninas,Bahia Blanca,1,200,Las Toninas - Pinamar - Mar Del Plata - Tres Arroyos - Bahia Blanca
D270,Pinamar,Bahia Blanca,1,200,Pinamar - Mar Del Plata - Tres Arroyos - Bahia Blanca
D271,Mar Del Plata,Bahia Blanca,1,200,Mar Del Plata - Tres Arroyos - Bahia Blanca
D272,Tres Arroyos,Bahia Blanca,1,200,Tres Arroyos - Bahia Blanca
D273,Abasto,Las Toninas,4,100,Abasto - Las Toninas
D274,Las Toninas,Pinamar,4,100,Las Toninas - Pinamar
D275,Pinamar,Mar Del Plata,4,100,Pinamar - Mar Del Plata
D276,Mar Del Plata,Tres Arroyos,4,100,Mar Del Plata - Tres Arroyos
D277,Tres Arroyos,Bahia Blanca,4,100,Tres Arroyos - Bahia Blanca
D278,Abasto,Chascomus,1,200,Abasto - Chascomus
D279,Abasto,Dolores,1,200,Abasto - Chascomus - Dolores
D280,Abasto,Las Armas,1,200,Abasto - Chascomus - Dolores - Las Armas
D281,Chascomus,Bahia Blanca,1,200,Chascomus - Dolores - Las Armas - Mar Del Plata - Tres Arroyos - Bahia Blanca
D282,Dolores,Bahia Blanca,1,200,Dolores - Las Armas - Mar Del Plata - Tres Arroyos - Bahia Blanca
D283,Las Armas,Bahia Blanca,1,200,Las Armas - Mar Del Plata - Tres Arroyos - Bahia Blanca
D284,Abasto,Chascomus,4,100,Abasto - Chascomus
D285,Chascomus,Dolores,4,100,Chascomus - Dolores
D286,Dolores,Las Armas,4,100,Dolores - Las Armas
D287,Las Armas,Mar Del Plata,4,100,Las Armas - Mar Del Plata
D288,Lujan,Benavidez,1,200,Lujan - Benavidez
D289,Lujan,Benavidez,4,100,Lujan - Benavidez
D290,Bahia Blanca,Algarrobo,4,200,Bahia Blanca - Algarrobo
D291,Bahia Blanca,Rio Colorado,1,200,Bahia Blanca - Algarrobo - Rio Colorado
D292,Bahia Blanca,Peru,1,200,Bahia Blanca - Algarrobo - Rio Colorado - Peru
D293,Bahia Blanca,Santa Rosa,1,200,Bahia Blanca - Algarrobo - Rio Colorado - Peru - Santa Rosa
D294,Bahia Blanca,Winifreda,1,200,Bahia Blanca - Algarrobo - Rio Colorado - Peru - Santa Rosa - Winifreda
D295,Bahia Blanca,Victorica,1,200,Bahia Blanca - Algarrobo - Rio Colorado - Peru - Santa Rosa - Winifreda - Victorica
D296,Bahia Blanca,Santa Isabel,1,200,Bahia Blanca - Algarrobo - Rio Colorado - Peru - Santa Rosa - Winifreda - Victorica - Santa Isabel
D297,Algarrobo,Mendoza,1,200,Algarrobo - Rio Colorado - Peru - Santa Rosa - Winifreda - Victorica - Santa Isabel - San Rafael - Mendoza
D298,Rio Colorado,Mendoza,1,200,Rio Colorado - Peru - Santa Rosa - Winifreda - Victorica - Santa Isabel - San Rafael - Mendoza
D299,Peru,Mendoza,1,200,Peru - Santa Rosa - Winifreda - Victorica - Santa Isabel - San Rafael - Mendoza
D300,Santa Rosa,Mendoza,1,200,Santa Rosa - Winifreda - Victorica - Santa Isabel - San Rafael - Mendoza
D301,Winifreda,Mendoza,1,200,Winifreda - Victorica - Santa Isabel - San Rafael - Mendoza
D302,Victorica,Mendoza,1,200,Victorica - Santa Isabel - San Rafael - Mendoza
D303,Santa Isabel,Mendoza,1,200,Santa Isabel - San Rafael - Mendoza
D304,Bahia Blanca,Algarrobo,4,100,Bahia Blanca - Algarrobo
D305,Algarrobo,Rio Colorado,4,100,Algarrobo - Rio Colorado
D306,Rio Colorado,Peru,4,100,Rio Colorado - Peru
D307,Peru,Santa Rosa,4,100,Peru - Santa Rosa
D308,Santa Rosa,Winifreda,4,100,Santa Rosa - Winifreda
D309,Winifreda,Victorica,4,100,Winifreda - Victorica
D310,Victorica,Santa Isabel,4,100,Victorica - Santa Isabel
D311,Bahia Blanca,Trenque Lauquen,1,200,Bahia Blanca - Rio Colorado - Santa Rosa - Trenque Lauquen
D312,Trenque Lauquen,Lujan,1,200,Trenque Lauquen - Pehuajo - Lujan
D313,Santa Rosa,Trenque Lauquen,4,100,Santa Rosa - Trenque Lauquen
D314,Trenque Lauquen,Pehuajo,4,100,Trenque Lauquen - Pehuajo
D315,Santa Isabel,Gral. Alvear,1,200,Santa Isabel - Gral. Alvear
D316,Santa Isabel,San Rafael,1,200,Santa Isabel - Gral. Alvear - San Rafael
D317,Santa Isabel,Tunuyan,1,200,Santa Isabel - Gral. Alvear - San Rafael - Tunuyan
D318,Gral. Alvear,Mendoza,1,200,Gral. Alvear - San Rafael - Tunuyan - Mendoza
D319,San Rafael,Mendoza,1,200,San Rafael - Tunuyan - Mendoza
D320,Tunuyan,Mendoza,1,200,Tunuyan - Mendoza
D321,Santa Isabel,Gral. Alvear,4,100,Santa Isabel - Gral. Alvear
D322,Gral. Alvear,San Rafael,4,100,Gral. Alvear - San Rafael
D323,San Rafael,Tunuyan,4,100,San Rafael - Tunuyan
D324,Tunuyan,Mendoza,4,100,Tunuyan - Mendoza
D325,Lujan,Cañuelas,1,200,Lujan - Cañuelas
D326,Cañuelas,Abasto,1,200,Cañuelas - Abasto
D327,Lujan,Cañuelas,4,100,Lujan - Cañuelas
D328,Cañuelas,Abasto,4,100,Cañuelas - Abasto
D329,Benavidez,San Antonio de Areco,1,200,Benavidez - San Antonio de Areco
D330,Benavidez,Arrecifes,1,200,Benavidez - San Antonio de Areco - Arrecifes
D331,Benavidez,Pergamino,1,200,Benavidez - San Antonio de Areco - Arrecifes - Pergamino
D332,San Antonio de Areco,Rosario,1,200,San Antonio de Areco - Arrecifes - Pergamino - Rosario
D333,Arrecifes,Rosario,1,200,Arrecifes - Pergamino - Rosario
D334,Pergamino,Rosario,1,200,Pergamino - Rosario
D335,Benavidez,San Antonio de Areco,4,100,Benavidez - San Antonio de Areco
D336,San Antonio de Areco,Arrecifes,4,100,San Antonio de Areco - Arrecifes
